Algorithm,Dataset,TotalTransactions,GEN,MinSup,FoundItems,Runtime(ms),PeakMemory(MB)
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,6696,2000,0.4000,660,3619,301.70
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,6696,2000,0.4000,660,1188,304.78
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,6696,2000,0.4000,660,1842,946.21
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,11696,5000,0.4000,648,5487,452.39
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,11696,5000,0.4000,648,2218,452.23
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,11696,5000,0.4000,648,3910,1309.53
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,8416,0,0.1000,3532,6343,303.90
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,8416,0,0.1000,3532,1281,224.22
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,8416,0,0.1000,3532,2910,843.44
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,8916,500,0.1000,3536,6110,302.46
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,8916,500,0.1000,3536,1272,316.90
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,8916,500,0.1000,3536,2498,901.54
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,9916,1000,0.1000,3477,6644,309.27
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,9916,1000,0.1000,3477,1501,348.89
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,9916,1000,0.1000,3477,3038,978.70
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,11916,2000,0.1000,3443,7717,296.79
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,11916,2000,0.1000,3443,1804,371.52
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,11916,2000,0.1000,3443,3462,1060.15
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,16916,5000,0.1000,3476,12959,446.77
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,16916,5000,0.1000,3476,3216,469.59
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,16916,5000,0.1000,3476,5933,1307.45
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,8416,0,0.2000,334,956,207.48
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,8416,0,0.2000,334,309,71.64
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,8416,0,0.2000,334,402,228.25
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,8916,500,0.2000,334,992,301.46
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,8916,500,0.2000,334,230,139.29
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,8916,500,0.2000,334,399,288.36
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,9916,1000,0.2000,334,1178,362.00
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,9916,1000,0.2000,334,263,147.15
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,9916,1000,0.2000,334,442,291.05
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,11916,2000,0.2000,334,1597,381.67
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,11916,2000,0.2000,334,383,158.25
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,11916,2000,0.2000,334,598,335.88
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,16916,5000,0.2000,334,2081,450.49
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,16916,5000,0.2000,334,645,191.84
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,16916,5000,0.2000,334,1380,470.65
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,8416,0,0.3000,77,392,157.88
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,8416,0,0.3000,77,168,56.80
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,8416,0,0.3000,77,177,125.29
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,8916,500,0.3000,77,452,151.95
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,8916,500,0.3000,77,180,110.23
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,8916,500,0.3000,77,125,118.05
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,9916,1000,0.3000,77,449,124.98
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,9916,1000,0.3000,77,140,121.08
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,9916,1000,0.3000,77,133,143.81
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,11916,2000,0.3000,77,607,151.35
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,11916,2000,0.3000,77,371,145.50
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,11916,2000,0.3000,77,283,142.92
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,16916,5000,0.3000,77,905,314.45
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,16916,5000,0.3000,77,365,192.04
Inc-dCharm ,datasets/dataset-mushrooms_dynamic.txt,16916,5000,0.3000,77,275,194.15
Inc-FP-Close ,datasets/dataset-mushrooms_dynamic.txt,8416,0,0.4000,28,137,117.55
Inc-CHARM ,datasets/dataset-mushrooms_dynamic.txt,8416,0,0.4000,28,75,52.79
